Sr No,Authors,Title,Abstract,Author Keywords,Cited by,Source title,Year
103,Wan J.; Zou C.; Zhou K.; Lu R.; Li D.,IoT sensing framework with inter-cloud computing capability in vehicular networking,"In order to improve convenience, efficiency, and safety in vehicular networking applications (VNA), we propose a novel business model based on platform production services (PPS), design an inter-cloud architecture, and then apply this emerging scheme to vehicle maintenance services (VMS). Both internet of things (IoT) sensing framework and inter-cloud computing architecture are the crucial factors in implementing PPS business model. In the proposed scheme, implementation concept, system architecture, and scalable applications are introduced. Then we design IoT sensing framework for VNA, including cloud services and computation level scalability, inter-cloud architecture supporting telematics applications, and telematics application scenarios. After dissecting mobile cloud computing forming mechanism, we carry out the semantic modeling analysis for inter-cloud service model, and then design a VMS event processing flow to allow the management and cooperation among diverse components by means of event manager. The performance evaluation exemplified by VMS is implemented by means of probabilistic methods. The results show that convenience and efficiency increase in VNA as compared to existing schemes. © 2014, Springer Science+Business Media New York.",Event processing flow; Inter-cloud computing; Internet of things; Semantic modeling; Vehicular networking; Wireless sensor networks,51,Electronic Commerce Research,2014
104,Petrova K.; Wang B.,Location-based services deployment and demand: A roadmap model,"The advancements in mobile, wireless and positioning technologies have enabled applications and services such as route guiding and emergency call-out assistance. These and other similar services have become known as 'location-based services' (LBS). The literature on LBS development and deployment addresses technological issues (for example, usability and integration) and issues related to LBS implementation-including LBS business models, adoption and customer concerns and requirements. In the study presented here LBS development and deployment were investigated from a case study perspective and the LBS landscape is explored and analyzed. The study finds that while the regulatory environment has played a critical role as a success factor in the markets investigated some of innovative business approaches may have been equally important as customer demand generators. Economies on the road to deploying LBS should therefore focus on creating a supportive environment encouraging the development of services, which meet the identified needs and requirements of the target customer market. © 2010 Springer Science+Business Media, LLC.",Case study; LBS; Location-aware services; Location-based services; Mobile services,51,Electronic Commerce Research,2011
105,Herrando C.; Jiménez-Martínez J.; Martín-De Hoyos M.J.,Passion at first sight: how to engage users in social commerce contexts,"This study analyzes the role of passion in engaging users and how it affects participation in social commerce contexts. Based on extant marketing research, the engagement-generation process is studied in three stages: cognitive (social presence and interactivity), affective (enjoyment and sPassion) and behavioral (spread of sWOM). The results empirically confirm that the cognitive experience and emotional feelings derived from the process boost user participation. At the core of the process, sPassion positively affects the spread of sWOM. Introduction of the new concept sPassion brings new challenges and opportunities to marketing research, helping to develop the concept of engagement and furthering research on WOM valence. Knowing how sPassion is formed and what factors are key to its creation will enable companies to understand the necessary steps to enhance user participation in social commerce contexts. © 2016, Springer Science+Business Media New York.",Engagement; Enjoyment; Interactivity; Social commerce; Social presence; sPassion,50,Electronic Commerce Research,2017
106,Panniello U.; Gorgoglione M.,Incorporating context into recommender systems: An empirical comparison of context-based approaches,"Recently, there has been growing interest in recommender systems (RSs) and particularly in context-aware RSs. Methods for generating context-aware recommendations were classified into the pre-filtering, post-filtering and contextual modeling approaches. This paper focuses on comparing the pre-filtering, the post-filtering, the contextual modeling and the un-contextual approaches and on identifying which method dominates the others and under which circumstances. Although some of these methods have been studied independently, no prior research compared the relative performance to determine which of them is better. This paper proposes an effective method of comparing the three methods to incorporate context and selecting the best alternatives. As a result, it provides analysts with a practical suggestion on how to pick a good approach in an effective manner to improve the performance of a context-aware recommender system. © 2012 Springer Science+Business Media, LLC.",Algorithms; Collaborative filtering; Context-aware; Recommender systems,50,Electronic Commerce Research,2012
107,Ramanathan R.,E-commerce success criteria: Determining which criteria count most,"We explore in this paper how performance of e-commerce websites in terms of various criteria influences customers' intention to shop again in the same website. Our approach is based on an interesting use of statistical regression in the hotel literature that attempted to classify different cues in hotels as critical, satisfier, dissatisfier, etc. We use online ratings for 484 e-commerce websites for this study. Our study shows that ""satisfaction with claims"" is the single most important criterion valued as critical by online customers. ""Comparative prices"" and ""Refunds/returns"" are desirable criteria. ""Management accessibility"", ""Payment process"" and ""Privacy experience"" are satisfiers while ""on-time delivery"" is a dissatisfier. © 2010 Springer Science+Business Media, LLC.",Classifications; Customer loyalty; E-commerce success criteria; Online ratings,50,Electronic Commerce Research,2010
108,Altarturi H.H.M.; Nor A.R.M.; Jaafar N.I.; Anuar N.B.,A bibliometric and content analysis of technological advancement applications in agricultural e-commerce,"Given the severe difficulties and challenges being faced during the current COVID-19 pandemic, agribusinesses must consider alternative means to market and sell agriproducts using e-commerce and advanced technologies. Agricultural e-commerce that utilizes advanced technologies can promote sustainable economic growth and gender equality and, therefore, helps achieve the Sustainable Development Goals. It also allows farmers access to new markets where they can bypass intermediaries, leading to higher income, less waste, and fresher produce for customers. The usefulness of using agricultural e-commerce depends on the efficiency of addressing the emerging challenges from merging perspectives of agricultural and e-commerce fields. Literature reviews addressed both fields from different perspectives, however, most literature addresses the agriculture and e-commerce fields separately, leading to unclarity in understanding the differences between agriproducts and other products. This study aims to present a comprehensive and robust roadmap of technological advancements and challenges in agricultural e-commerce through a thorough bibliometric and content analysis and provide a conceptual architecture for best practices. The bibliometric and content analysis sheds light on the agricultural e-commerce categories, challenges, and limitations. This study identifies the most influential research and topic trends, determines the topical discipline areas, and provides visions and directions for future research in the field of agricultural e-commerce. It discusses the challenges of agricultural e-commerce and agriproducts and how advanced technologies help solve such challenges. This study summarises the best practice implementation of agricultural e-commerce by providing strong logistics, implementing standardization, including information knowledge of agriproducts, and creating a traceability information system. The result of this paper is presented as a proposed conceptual architecture for agricultural e-commerce that addresses the abovementioned best practice concepts and utilizes the Blockchain and IoT technologies to provide innovative solutions for the agricultural e-commerce stakeholders. Finally, this study provides prospects for future research on advanced technologies in agricultural e-commerce. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.",Advanced technology; Agriculture; Bibliometric; Blockchain; e-commerce; Internet of Things,49,Electronic Commerce Research,2025
109,Wan Y.; Ma B.; Pan Y.,Opinion evolution of online consumer reviews in the e-commerce environment,"Online consumer reviews play an important role in shaping potential customers’ purchase decisions in e-commerce. Previous studies have analyzed the influence of online consumer reviews on sales, mainly considering factors such as reviewers’ and viewers’ profiles, information provided, and product features. However, there are relatively few studies that discuss how online consumer reviews interact with each other and how consumers’ opinions evolve over time. This paper proposes an opinion evolution dynamics model that is applicable to online consumer reviews in the e-commerce environment by taking into account influencing factors such as viewer reading limits, review sorting and releasing strategies, convergence parameters, review posting possibilities, and confidence thresholds. Using multi-agent simulation based on the proposed opinion evolution dynamics model, the paper discusses how these factors affect viewers’ opinions, and the opinion evolution process itself. Finally, conclusions and managerial implications of the simulation results are discussed. © 2017, Springer Science+Business Media New York.",Multi-agent simulation; Online consumer review; Opinion dynamics; Opinion evolution,49,Electronic Commerce Research,2018
110,Peng L.; Liao Q.; Wang X.; He X.,Factors affecting female user information adoption: an empirical investigation on fashion shopping guide websites,"With the prosperity of online shopping platforms, similar or even the same products tend to have a large variety of sources to be purchased from. More and more consumers seek the product information from online review websites before making a purchase, as they are willing to provide reviews or share their purchase experience. These behaviors turn the online review websites into vertical and community-based sales channels. Based on the Information Adoption Model, this study conducted an empirical investigation to analyze female users’ information adoption process when using fashion shopping guide website. The results show that information quality and source credibility have significant impact on information usefulness, which in turn contributes to information adoption. In addition, users with different levels of purchasing motivation demonstrate different dependence on information quality and source credibility. © 2016, Springer Science+Business Media New York.",Fashion shopping guide website; Female users; Guiding information; Information adoption; Information quality; Information usefulness; Source credibility,49,Electronic Commerce Research,2016
111,Milanesi M.; Guercini S.; Runfola A.,Let’s play! Gamification as a marketing tool to deliver a digital luxury experience,"This paper aims to investigate the features of gamification as a digital marketing tool to deliver a digital luxury experience. The paper employs the qualitative methodology of case study and presents a case of a multi-brand luxury company adopting gamification through the development of a game app. Four features of the gaming luxury experience are discussed: individual and collective gaming experiences, exclusiveness through rarity in luxury gaming, social networking and virtual influencing marketing mechanisms, and cross-fertilization between gaming and e-commerce. The paper expands the knowledge on gamification by highlighting its main features as a digital marketing tool for luxury companies and the benefits it can bring in terms of consumer experience, engagement, and sales. It also contributes to studies on luxury companies by discussing gamification as a means to create digital luxury experiences, particularly suitable for the new generations of consumers, such as Generation Z. © 2022, The Author(s).",Digital experience; E-commerce; Gamification; Luxury; Retail,48,Electronic Commerce Research,2023
112,Saumya S.; Singh J.P.,Spam review detection using LSTM autoencoder: an unsupervised approach,"The review of online products or services is becoming a major factor in the user’s purchasing decisions. The popularity and influence of online reviews attract spammers who intend to elevate their products or services by writing positive reviews for them and lowering the business of others by writing negative reviews. Traditionally, the spam review identification task is seen as a two-class classification problem. The classification approach requires a labelled dataset to train a model for the environment it is working on. The unavailability of the labelled dataset is a major limitation in the classification approach. To overcome the problem of the labelled dataset, we propose an unsupervised learning model combining long short-term memory (LSTM) networks and autoencoder (LSTM-autoencoder) to distinguish spam reviews from other real reviews. The said model is trained to learn the patterns of real review from the review’s textual details without any label. The experimental results show that our model is able to separate the real and spam review with good accuracy. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Autoencoder neural network; E-commerce; Long short-term memory; Machine learning; Spam detection; Unsupervised learning,48,Electronic Commerce Research,2022
113,Wingreen S.C.; Mazey N.C.H.L.; Baglione S.L.; Storholm G.R.,Transfer of electronic commerce trust between physical and virtual environments: experimental effects of structural assurance and situational normality,"Although there is a considerable body of empirical evidence on the subject of electronic commerce trust, most of it is correlational evidence based on field surveys, and very little attention has been given to causal effects of how participants in electronic markets transfer their trust beliefs between physical and virtual environments. Research has previously established that structural assurance and situational normality have differential effects on vendor and technology-based trust. Generalized expectancies are used as a theory for understanding how people trust and transfer trust in the context of electronic commerce technologies. In theory, there should be differential cause-and-effect relationships between trust antecedents and transfer of trust between physical and virtual environments. This study reports the results of a randomized experiment on the effects of structural assurance and situational normality on the transfer of electronic commerce trust between physical and virtual environments. A pretest-treatment-posttest design using MANOVA revealed that structural assurance, situational normality, and direction of transfer have differential effects on vendor-based trust and technology-based trust. Structural assurance prevents loss of trust in physical-to-virtual transfers, and both situational normality and structural assurance cause increases in trust for virtual-to-physical transfers for technology-based trust, but not necessarily for vendor-based trust. The results indicate significant differences between how trust operates in physical-to-virtual transfers versus virtual-to-physical transfers. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",E-commerce trust; Generalized expectancies; Initial trust; Situational normality; Structural assurance; Technology-based trust; Trust transfer; Vendor-based trust,48,Electronic Commerce Research,2019
114,Ulbrich F.; Christensen T.; Stankus L.,Gender-specific on-line shopping preferences,"This study approaches the question of whether on-line shopping preferences differ from a gender perspective. Data is collected by the means of an on-line survey (n=170) in which male and female on-line shoppers rank the importance of various features that have an impact on their shopping experience. The results show no gender differences at the construct level. However, when comparing the ranking of individual features some statistically significant differences exist. Males, for example, rank accurate description of products and fair pricing significantly more important than females. Females on the other hand consider return labels significantly more important than their male counterparts. The implications for research are twofold. First, the study provides additional insights into on-line shopping preferences from a gender perspective. Second, the study demonstrates that significant differences might not show on the construct level but only when features are individually compared with each other. The implication for practice is to help businesses enhance their on-line shopping platforms to better consider the particular needs of male and female on-line shoppers. © 2010 Springer Science+Business Media, LLC.",B2C; E-commerce; Gender; On-line shopping; User perspective; User satisfaction,48,Electronic Commerce Research,2011
115,Pu P.; Chen L.; Kumar P.,Evaluating product search and recommender systems for E-commerce environments,"Online systems that help users select the most preferential item from a large electronic catalog are known as product search and recommender systems. Evaluation of various proposed technologies is essential for further development in this area. This paper describes the design and implementation of two user studies in which a particular product search tool, known as example critiquing, was evaluated against a chosen baseline model. The results confirm that example critiquing significantly reduces users' task time and error rate while increasing decision accuracy. Additionally, the results of the second user study show that a particular implementation of example critiquing also made users more confident about their choices. The main contribution is that through these two user studies, an evaluation framework of three criteria was successfully identified, which can be used for evaluating general product search and recommender systems in E-commerce environments. These two experiments and the actual procedures also shed light on some of the most important issues which need to be considered for evaluating such tools, such as the preparation of materials for evaluation, user task design, the context of evaluation, the criteria, the measures and the methodology of result analyses. © Springer Science+Business Media, LLC 2008.",Decision technology; Electronic product catalog; Example critiquing interfaces; Fisheye view interfaces; Preference-based search; Product recommender systems; Trade off analysis,48,Electronic Commerce Research,2008
116,Nathan R.J.; Yeow P.H.P.,Crucial web usability factors of 36 industries for students: A large-scale empirical study,"The study identifies and prioritizes the crucial Web Usability Factors (WUFs) for websites from 36 industries. 400 respondents participated in the web evaluation and more than 12,000 data points were collected and analyzed using Multiple Linear Regression. Seven WUFs were tested, i. e. Use of Color and Font, Use of Graphics and Multimedia, Clarity of Goals in Website, Trustworthiness of Website, Interactivity of Website, Ease of Web Navigation, and Downloading Speed of Website. Results reveal that every industry has a different set of crucial WUFs. The research compared and discussed its results with previous studies such as Agarwal and Venkatesh (Inf. Syst. Res. 13:168-186, 2002). Moreover, students' preference for Web usability was compared with that of general Internet users. The study provides a simple method to measure web usability and to determine which WUFs are important for a specific industry with consideration of the users' role. Practitioners can use the results as a guide to design usable websites for specific industry. This study is the first that comprehensively examines the WUFs of students by employing a very large sample size across various industries, thus yielding more specific and meaningful results. © 2010 Springer Science+Business Media, LLC.",Clarity of goals in website; Ease of web navigation; Interactivity of website; Malaysia; Student Internet users; Trustworthiness of website; Use of color and fonts; Use of graphics and multimedia; User Testing method; Website design guidelines,47,Electronic Commerce Research,2011
117,Myles G.; Collberg C.,"Software watermarking via opaque predicates: Implementation, analysis, and attacks","Within the software industry software piracy is a great concern. In this article we address this issue through a prevention technique called software watermarking. Depending on how a software watermark is applied it can be used to discourage piracy; as proof of authorship or purchase; or to track the source of the illegal redistribution. In particular we analyze an algorithm originally proposed by Geneviève Arboit in A Method for Watermarking Java Programs via Opaque Predicates. This watermarking technique embeds the watermark by adding opaque predicates to the application. We have found that the Arboit technique does withstand some forms of attack and has a respectable data-rate. However, it is susceptible to a variety of distortive attacks. One unanswered question in the area of software watermarking is whether dynamic algorithms are inherently more resilient to attacks than static algorithms. We have implemented and empirically evaluated both static and dynamic versions within the SandMark framework. © Springer Science + Business Media, LLC 2006.",Copyright protection; Opaque predicate; Software piracy; Software watermarking,47,Electronic Commerce Research,2006
118,Shihab M.R.; Putri A.P.,Negative online reviews of popular products: understanding the effects of review proportion and quality on consumers’ attitude and intention to buy,"This study investigated the effects of negative online reviews on consumers’ attitude and purchase intention, more specifically in relation to popular products. The investigation took into account the proportion of negative online reviews (low and high) and their quality (low and high), as well as comparing their impact in relation to popular and unpopular products. As a control variable, a website was purposely developed to suit eight different experimental treatments and their manipulations. This study involved 382 participants, who were exposed to the specially created website and asked to perform a specific task. Their responses were captured via questionnaires. The results showed that consumers’ positive attitude to popular products decreased as the proportion of negative online reviews increased. The quality of reviews was found to have a less significant influence on consumer responses. Furthermore, this research revealed that unpopular products were more affected by negative online reviews than popular ones. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Attitude; Negative online review; Popular product; Purchase intention,46,Electronic Commerce Research,2019
119,Cheng X.; Su L.; Zarifis A.,Designing a talents training model for cross-border e-commerce: a mixed approach of problem-based learning with social media,"Cross-border e-commerce has developed rapidly integrating the global economy. Research has presented some solutions for the challenges and barriers in cross-border e-commerce from the perspective of the enterprise. However, little is known about the requirements of cross-border e-commerce talents and how to train them. In this paper, we firstly conducted semi-structured interviews to acquire the requirements of cross-border e-commerce talents. Business and market knowledge, technical skills, analytical ability and business practical ability were found to be the four core requirements. Then, we integrated problem-based learning and social media to design a talents training model for cross-border e-commerce and did a program to evaluate effectiveness of the model. Finally, its effectiveness was evaluated from the four evaluation dimensions of attitude, perceived enjoyment, concentration and work intention. The talents training model was improved according to the suggestions. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Cross-border e-commerce (CBEC); Problem-based learning (PBL); Social media; Talent training model,46,Electronic Commerce Research,2019
120,Marinč M.,Banks and information technology: Marketability vs. relationships,"This paper evaluates the impact of information technology (IT) on the operations of banks and the structure of the banking industry, including implications for stability. On the one hand, banks can focus on relationship banking and use IT developments to tailor services to individual needs and build enhanced, albeit modified, relationships with customers. On the other hand, IT better allows banks to exploit economies of scale and scope, which are most evident in transaction banking. Another manifestation of IT is via financial innovations that have enhanced marketability. Stability enters the picture because increased marketability facilitates opportunistic behavior. Together with enhanced herding behavior and changes in industry structure, this could undermine stability and augment systemic risk, calling for a regulatory overhaul. © 2013 Springer Science+Business Media New York.",Banking; Information technology; Relationship banking; Stability; Systemic risk,46,Electronic Commerce Research,2013
121,Morid M.A.; Shajari M.,An enhanced e-commerce trust model for community based centralized systems,"Conventional trust models cannot simultaneously fulfill three major requirements of community based centralized e-commerce systems having a large number of members and economic risk. First, a buyer dealing with a new seller should be able to consult other buyers' experiences with that seller to make a better decision. Also, a seller with a good reputation should not abuse it by conducting fraudulent transactions. Finally, a buyer with good experience with a seller, even one with a bad reputation, should be able to continue to deal with that seller. This paper introduces a trust-scoring model (Enhanced E-Commerce Trust Model or E2CTM) to address the above requirements. In E2CTM, a trustor uses personal experience with a trustee and input from other trustors about that trustee. To explore the capability of E2CTM, an online electronic auction shopping system was developed to compare its performance with a conventional trust model used by most electronic shopping systems that uses overall gain and loss of all buyers in simulated auctions as evaluation criteria. The results show the advantage of E2CTM, specifically, in terms of overall performance. The improvement is more significant when there is low percentage of fraudulent transactions in the system. © 2012 Springer Science+Business Media New York.",E-Commerce; Fraud; Reputation; Trust model,46,Electronic Commerce Research,2012
122,Burgess L.; Parish B.; Alcock C.,To what extent are regional tourism organisations (RTOs) in Australia leveraging the benefits of web technology for destination marketing and eCommerce?,"The information-intensive nature of the tourism and travel industry suggests an important role for Web technology in the promotion and marketing of tourist destinations. The rapid development of the Internet and WWW is having profound impacts on the industry. In fact, according to Tourism Australia, travel and tourism has become the single largest category of products sold over the Internet (Tourism White Paper, Destinations online: approaches for regional tourism organisations, Centre for Regional Tourism Research, Southern Cross University, 2007). With reports of travel purchases being one of the fastest growing segments of the Internet community it is no surprise that the number of tourism operators on the Web has increased considerably over the past few years. This paper presents the results of a longitudinal study that seeks to determine if and to what extent, Regional Tourism Organisations (RTOs) in Australia are leveraging the benefits of Web technology for destination marketing and eCommerce. The study was undertaken over an eight year period from 2000 to 2008, using the Extended Model of Internet Commerce Adoption (eMICA) (Burgess and Cooper, International conference on telecommunications and electronic commerce, Dallas, November, 2000). A significant finding of this study is that despite assertions that the Tourism industry is leading the field in terms of eCommerce adoption (Buhalis and Law, Information and communication technologies in tourism, Ljubljana, Springer, Berlin, 2007), and this may hold true with some providers in the sector (for example, hotels and airlines) it does not appear to be the case with Australian RTOs who have been slow to embrace eCommerce. The results of the study also add support to the premise of eMICA, that is, in developing commercial websites, businesses (particularly, SMEs) in this industry sector typically start simply by establishing a presence on the Web and build on functionality over time, as their experience with and expertise in the use of Internet and Web technologies increases and they become more aware of the benefits the Web has to offer. © 2011 Springer Science+Business Media, LLC.",Destination marketing; eCommerce; eMICA; Internet; Regional tourism; World Wide Web,46,Electronic Commerce Research,2011
123,Hu D.; Zhao S.; Yang F.,Will fintech development increase commercial banks risk-taking? Evidence from China,"The development of financial technology (Fintech henceforth) has brought both opportunities and challenges to commercial banks’ risk management. Here, we discuss the interactive relationship between Fintech and traditional finance. We first construct a mathematical model and deduce that the synergy between Fintech and traditional finance can more effectively help banks measure the creditworthiness of customers, thereby reducing risk-taking. In order to verify the deduced result, we then conduct an empirical analysis using panel data of Chinese commercial banks from 2011 to 2020. The empirical results support the theoretical outcome that the synergy between Fintech and traditional finance has indeed effectively reduced commercial banks’ risk-taking. Our research also shows that Fintech development significantly reduces the risk-taking of commercial banks, and this mitigation effect is more prominent for larger-scale banks and those with a higher-developed traditional finance basis. Moreover, this mitigation effect is more significant after 2016, a period marked by an increased level of Fintech development. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2022.",Commercial banks; Fintech; Risk-taking,45,Electronic Commerce Research,2024
124,Mkansi M.,E-business adoption costs and strategies for retail micro businesses,"E-business benefit both large and small businesses. However, the aggregate cost of successful online trading, including initial and recurring costs, continues to pose a great challenge to micro-enterprises. For these willing businesses, the result is a mere web presence and for some, the thought of trading online is a no-go area. Using a multi-case study qualitative approach, this study adopts the technology-organisation-environment theoretical lens to explore empirically the strategies used by e-retail microbusinesses to potentially advance their e-business adoption. The findings revealed the actual cost of adoption, the technology-organisation-environment strategies in use to lower the cost barrier, and how the pursuit of the cost barrier simultaneously lowers some adoption barriers outside the cost factors. The study also highlighted the intrinsic idiosyncratic nature of small firms’ ecosystems, and the fact that government resources and services provided by companies, both private and public, could effectively reduce the costs associated with e-business adoption. © 2021, Springer Science+Business Media, LLC, part of Springer Nature.",E-business adoption; Microbusiness; Retail; Technology-Organisation-Environment Theory,45,Electronic Commerce Research,2022
125,Yoon Y.; Li Y.; Feng Y.,Factors affecting platform default risk in online peer-to-peer (P2P) lending business: an empirical study using Chinese online P2P platform data,"Most previous literatures focus on the micro level default risk of individual borrowers whereas the platform default risk has not been rigorously studied yet. In this paper, we investigate the factors affecting platform default risk by employing the Chinese online P2P platform data. We find significant evidence that severe competition among platforms can increase risky behaviors of platforms by allowing riskier borrowers into the system. Some of the risk management devices could alleviate the default risk of platforms; however, others are not effective at alleviating the default risks. In addition, we find evidence that macro environment such as stock market condition or increases in speculative investment opportunities plays critical roles to increase the platform default rate. Our study sheds light on the platforms’ default risk issues and verifies key factors that influence their risky behaviors. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Electronic commerce; Online P2P (peer-to-peer) lending; Online P2P platform default risk,45,Electronic Commerce Research,2019
126,Eurich M.; Oertel N.; Boutellier R.,The impact of perceived privacy risks on organizations' willingness to share item-level event data across the supply chain,"When information is available about the path, on which individual items move through the real world, many beneficial applications can be designed. The necessary data can be generated through attaching identifiers to items and deploying suitable readers all over the supply chain that capture the information on the identifiers. Organizations only have access to data about item movements within their organizational boundaries. Therefore sharing of data between organizations is required to gain full visibility. However, the willingness of organizations to share data is considered to be low. In this paper we present the results of a study that aimed at investigating the actual willingness of companies to share item-level data and at exploring the perceived privacy risks that may restrain companies from sharing item-level data. From the findings, requirements for the design of inter-organizational data sharing infrastructures are derived. © 2010 Springer Science+Business Media, LLC.",Event data; Information sharing; Internet of things; Privacy risks,45,Electronic Commerce Research,2010
127,Zhao C.; Li X.; Yan J.,The effect of digital finance on Residents' happiness: the case of mobile payments in China,"With the popularization of digital finance in China, mobile payments have penetrated into all aspects of residents' daily life. However, few studies have examined the potential impact of mobile payments on people's happiness in China. Using the nationally representative data from the China Household Finance Survey (CHFS), this study adopts the ordered probit regression with endogenous treatment to adjust for possible endogeneity to assess the effect of mobile payments on residents' happiness. The results suggest an association between mobile payment usage and increases in happiness, which is supported by several robustness checks, such as using an alternative instrumental variable (IV), replacing the explained variable, and removing some extreme observations. In addition, we explore the mechanisms by which mobile payments affect residents' happiness from multiple perspectives. Positive mechanisms include promoting quality of life, reducing transaction costs, stimulating entrepreneurship, and increasing social interaction. However, as a non-cash payment method, mobile payments may also lead to over-consumption, which is detrimental to residents' happiness. Furthermore, the heterogeneous analysis shows inclusive attributes of mobile payments. We find mobile payments have a greater positive effect on happiness of some socially disadvantaged groups, such as elderly individuals, rural residents, the low-educated, and low-income households. These findings supplement the literature on online happiness and financial inclusion and refer to the possible negative impact of mobile payments. Therefore, it is necessary to actively promote mobile payments to benefit more socially vulnerable groups and prevent potential risks from over-consumption. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2022.",China; Digital finance; Happiness; Mobile payments; Ordered probit regression with endogenous treatment,44,Electronic Commerce Research,2024
128,Guo L.,Cross-border e-commerce platform for commodity automatic pricing model based on deep learning,"With the innovation of information technology and the rise of the Internet economy, cross-border e-commerce has grown up to be an important means and strategy for enterprises to seek rapid development. This paper proposes a model that fuses CNN (Convolutional Neural Network) and attention mechanism to encode image features, and selects the image features of commodities. A 5-layer CNN without a fully connected layer is constructed to initially extract image features, and then a set of attention mechanism strategies is designed. This strategy is used to select the image features that have the greatest impact when generating words at different times. Considering the characteristics of quantitative indicators of the pricing model, this paper transforms this evaluation process of consumers into price perception. Corresponding mathematical model is set up to improve and expand the original probability unit model. The consumer selection model is utilized to obtain a prediction of product market share, and a nonlinear constraint programming is established to determine the optimal price. The strategy takes into account the changed market shares of consumer characteristics and product quality evaluation results. In the two-layer hybrid channel supply chain model, retailers and manufacturers all use third-party platforms when they achieve maximum benefits; when price cross-elasticity coefficients and third-party platform usage fees are independent variables of influencing factors, retailers are dispersed on CNN to get the most profit under the pricing strategy. Similarly, when the unit product tax difference is the independent variable of the influencing factors, the manufacturer is also the most profitable under the CNN decentralized pricing strategy. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Automatic image description; Cross-border e-commerce; Deep learning; Pricing model,44,Electronic Commerce Research,2022
129,Liu Q.; Zhang X.; Zhang L.; Zhao Y.,"The interaction effects of information cascades, word of mouth and recommendation systems on online reading behavior: an empirical investigation","While ranking systems, electronic word of mouth (eWOM) channels and recommendation systems might appear as three separate tools that influence consumer choice, consumers at online reading platforms are often exposed to all three simultaneously during a searching session of e-books. This study conducts an empirical analysis to examine the interaction effects of these three decision-supporting tools on online reading behavior. To do so, we collect a 25-week panel data set on Yuedu.163.com, which is one of the earliest online reading platforms in China. Our results indicate that informational cascades are particularly prominent on the online reading market. Under the influence of informational cascades, eWOM volume and valence have no impact on the clicks of e-books with high rankings, but have positive impact on the clicks of e-books with low rankings. Recommendation strength has a positive impact on popular e-books clicks, but has no impact on the clicks of less popular e-books. Moreover, we find that eWOM valence and recommendation strength have a substitute relationship in affecting the clicks of e-books with high rankings. However, eWOM and recommendation system have a complementary relationship in affecting the clicks of less popular e-books. To our best knowledge, this paper is the first to investigate the interaction effects of information cascades, eWOM and recommendation systems on online user behavior. Our findings provide important theoretical contributions and managerial implications. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Information cascades; Interaction effect; Online reading; Recommendation systems; Word of mouth,44,Electronic Commerce Research,2019
130,Li Q.; Liang N.; Li E.Y.,Does friendship quality matter in social commerce? An experimental study of its effect on purchase intention,"Friendship plays a critical role in social commerce in contemporary societies. This study aims to theorize and examine how friendship quality impacts purchase intention. Product-related risk is introduced to gain insight into its moderating effects on intention to purchase from three different seller groups. Through empirical evidence, we confirm that friendship quality has positively effect on purchase intention. In particular, friends with high friendship quality (i.e., good friends) are more conducive to selling high-price high-risk products. However, friends with low friendship quality (i.e., simple friends) are not as attractive as strangers having good user reviews (i.e., reputable strangers). In other words, people are more willing to buy from reputable strangers than from simple friends. Theoretically, these results contribute to a better understanding of the effect of friendship quality on purchase intention. Finally, this research offers several practical implications for developing successful businesses in social commerce. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Friendship quality; Good friends; Product-related risk; Purchase intention; Simple friends; Social commerce; Strangers,44,Electronic Commerce Research,2018
131,Wang Z.-B.; Wang Y.-Y.; Wang J.-C.,Optimal distribution channel strategy for new and remanufactured products,"The market for remanufactured products is large and growing rapidly, accelerated by the widespread popularity of internet sales and online auctions. Whereas extant remanufacturing research focuses primarily on such operations management issues in collecting of end-of-life products, remanufacturing technologies, production planning, and inventory control, we consider an operations-marketing interaction issue by identifying the optimal channel structures for marketing new and remanufactured products. Specifically, based on observations from current practice, we consider three channel strategies a dominant manufacturer can adopt: (1) marketing both new and remanufactured products through an independent retailer; (2) marketing the remanufactured products through the independent retailer, while controlling the new product sales by using its own online channel; (3) marketing the remanufactured products through the manufacturer-owned online channel, while selling new products through the independent retailer. Our results show that the manufacturer prefers to differentiate new and remanufactured products by opening a direct online channel, no matter how the system parameters change. However, which type of products (new or remanufactured) the manufacturer should sell through the online channel depends on the cost saving from remanufacturing, the customer’s acceptance of remanufactured products and the online inconvenience cost. Furthermore, this paper shows that, compared with channel strategy I where the manufacturer sells both new and remanufactured products through an independent retailer, this dual channel strategy benefits the end consumers, but might do harm to the retailer and the total supply chain in some situations. © 2016, Springer Science+Business Media New York.",Distribution channel structure; E-Commerce; Game theory; Remanufacturing; Supply chain management,44,Electronic Commerce Research,2016
